fit_id,chain_to_exclude,max_rhat
2,4,1.0196589726958962
5,3,1.0146146317100453
6,2,1.0118952102659133
10,3,1.0082799257146424
14,3,1.0132799178587362
18,4,1.0136831208658619
26,4,1.0141553212943382
29,4,1.0127916662619836
31,2,1.0115749225064776
34,2,1.0135937634091798
37,1,1.0133027475316765
38,2,1.0171334815109605
39,1,1.0149730193704338
40,4,1.0155034785066994
42,3,1.013281240588866
43,1,1.0117758562083619
44,4,1.014414442582276
46,4,1.0145391529439902
48,1,1.013466408134665
49,2,1.0181525380968344
50,4,1.0167044537683345
51,1,1.0176591453501533
53,1,1.017984555779558
54,4,1.0157706063084462
55,3,1.0137631200554964
